id;socle;partie;titres;chapitres;numero_article_isole;texte_integral;texte_simplifie;affichage_article;mots_cles
244;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;51;"Article 51  Salaire horaire brut minimum
Le salaire horaire brut minimum est défini comme le salaire en-dessous duquel aucun salarié relevant de la présente convention collective ne peut être rémunéré.
Le présent article est complété par les dispositions prévues par chacun des socles spécifiques.";Salaire plancher à respecter pour tous les salariés de la convention. Les socles spécifiques fixent les montants.;Article 51  Salaire horaire brut minimum;brut, dispositions, salaire, salarié, minimum
245;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;52;"Article 52  Mensualisation du salaire
Le salaire de base du salarié est mensualisé quel que soit le nombre de jours, de semaines travaillées dans l'année.
La mensualisation du salaire garantit un lissage de la rémunération.
Des dérogations à la mensualisation sont prévues dans chacun des socles spécifiques.";Avec CESU et PAJEMPLOI chaque contrat implique l'édition d'un bulletin de paie par mois.;Article 52  Mensualisation du salaire;rémunération, salaire, salarié, mensualisation
246;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;53;"Article 53  Calcul du salaire mensuel brut de base
La mensualisation du salaire est calculée sur la base du salaire horaire brut.
Les modalités de calcul du salaire mensuel brut de base sont prévues par chacun des socles spécifiques.";;Article 53  Calcul du salaire mensuel brut de base;brut, salaire
247;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;54;"Article 54  Majoration du salaire mensuel brut de base
Le salaire mensuel brut de base peut être majoré, sous certaines conditions prévues par chacun des socles spécifiques.";;Article 54  Majoration du salaire mensuel brut de base;brut, salaire
248;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;55;"Article 55  Déduction des périodes d'absence
Les dispositions du présent article sont prévues par chacun des socles spécifiques.";;Article 55  Déduction des périodes d'absence;dispositions
249;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;56;Article 56  Paiement du salaire et déclarations;;Article 56  Paiement du salaire et déclarations;salaire
250;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;56-1;"Article 56-1 Déclaration du salaire
Le particulier employeur déclare la rémunération mensuelle du salarié auprès des organismes concernés visés à l'article 42 du présent socle commun.
À partir de la déclaration effectuée par le particulier employeur, les organismes concernés calculent et prélèvent les contributions et cotisations sociales puis émettent un bulletin de salaire, qui est mis à la disposition du salarié.";;Article 56-1 Déclaration du salaire;employeur, particulier, rémunération, salaire, salarié
251;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VII Rémunération;56-2;"Article 56-2 Paiement du salaire
Le paiement du salaire est obligatoirement effectué, tous les mois, à la date et dans les conditions prévues au contrat de travail, par le particulier employeur.
Avec l'accord écrit du salarié, le particulier employeur a la possibilité de confier le versement de la rémunération en donnant mandat :
au CESU, à travers le dispositif CESU + ;
à PAJEMPLOI, à travers le dispositif PAJEMPLOI +.";Le paiement du salaire est obligatoirement effectué, tous les mois, à la date et dans les conditions prévues au contrat de travail;Article 56-2 Paiement du salaire;contrat, employeur, particulier, rémunération, salaire, salarié, travail
252;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VIII Indemnités et prestations;57;"Article 57  Indemnités liées à la conduite d'un véhicule
Si, en accord avec le particulier employeur, le salarié est amené à utiliser son véhicule personnel pour les besoins de son activité professionnelle, il bénéficie d'une indemnité kilométrique.
Le montant de l'indemnité kilométrique est fixé par les parties dans le contrat de travail. Il ne peut être ni inférieur au barème de l'administration ni supérieur au barème fiscal.
Si le salarié utilise le véhicule du particulier employeur dans le cadre de son activité professionnelle, il ne bénéficie pas de l'indemnité kilométrique.
Les indemnités liées à la conduite d'un véhicule ne sont pas prises en compte pour déterminer l'indemnité de congés payés à verser au salarié.
Le présent article est complété par les dispositions de même objet prévues par chacun des socles spécifiques.";"Si le salarié utilise son véhicule personnel pour le travail, il perçoit une indemnité kilométrique (montant entre barème administratif et fiscal, fixé au contrat).
	Pas d’indemnité s’il utilise le véhicule de l’employeur.
	Indemnité exclue du calcul des congés payés.";Article 57  Indemnités liées à la conduite d'un véhicule;congés, contrat, dispositions, employeur, indemnité, indemnités, liées, particulier, professionnelle, salarié, travail
253;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VIII Indemnités et prestations;58;"Article 58  Autres indemnités et prestations
D'autres indemnités et prestations sont prévues par chacun des socles spécifiques.";;Article 58  Autres indemnités et prestations;indemnités
254;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE VIII Indemnités et prestations;59;"Article 59  Prise en charge d'une partie du coût de l'abonnement à un service de transports publics de personnes ou à un service public de location de vélos
Conformément aux dispositions légales et règlementaires de droit commun, le salarié bénéficie d'une prise en charge, par le particulier employeur, à hauteur de cinquante pour cent (50 %) du prix du titre d'abonnement qu'il a souscrit pour réaliser les déplacements entre son domicile habituel et son lieu de travail, au moyen de transports publics de personnes ou de services publics de location de vélos.
Les dispositions du présent article sont complétées par les dispositions de même objet prévues par le socle spécifique "" salarié du particulier employeur "".";"L’employeur rembourse 50% de l’abonnement (transports en commun ou vélos publics) pour les trajets domicile-travail.

Conditions :
	Abonnement au nom du salarié.
	Justificatif obligatoire (facture).
	Exclut les trajets personnels.
Versement :
	Remboursement mensuel avec le salaire.
	Cumul possible avec d’autres aides (ex. : forfait mobilités durables).
Précisions :
	Les socles spécifiques peuvent modifier ces règles.";Article 59  Prise en charge d'une partie du coût de l'abonnement à un service de transports publics de personnes ou à un service public de location de vélos;dispositions, domicile, employeur, particulier, salarié, travail
255;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE IX Ancienneté;60;"Article 60  Ancienneté
L'ancienneté est appréciée en fonction de la durée des services du salarié auprès du particulier employeur, au titre d'un même contrat de travail, quelle que soit la durée de travail.
L'ancienneté est déterminée à compter de la date d'effet de l'embauche et s'arrête à la date à laquelle le contrat de travail prend fin.
Certaines périodes de suspension du contrat de travail sont prises en compte pour déterminer l'ancienneté du salarié. Les périodes visées sont rappelées dans les fiches et documents pédagogiques. Ces derniers présentent une valeur indicative et non conventionnelle.";"L’ancienneté se calcule par contrat, depuis la date d’embauche jusqu’à la fin du contrat, quelle que soit la durée de travail.
Périodes comptabilisées :
	Les suspensions assimilées à du travail effectif (ex. : congés payés, arrêt maladie dans certains cas).
	Liste indicative dans les fiches pédagogiques (non exhaustive).
Exclusions :
	Suspensions non assimilées (ex. : congé sans solde).";Article 60  Ancienneté;contrat, durée, déterminée, employeur, particulier, salarié, travail
256;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 1  Formation et exécution du contrat de travail;CHAPITRE X Retraite complémentaire;61;"Article 61  Retraite complémentaire
Pour les particuliers employeurs et les salariés relevant du champ d'application conventionnel de
la présente convention collective, la caisse compétente en matière de retraite complémentaire est l'IRCEM AGIRC-ARRCO.";La caisse compétente en matière de retraite complémentaire est l'IRCEM AGIRC-ARRCO.;Article 61  Retraite complémentaire;retraite
257;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE I Rupture du contrat de travail à durée déterminée;62;"Article 62  Rupture du contrat de travail à durée déterminée
Les dispositions relatives à la rupture du contrat de travail à durée déterminée sont prévues par les dispositions légales et réglementaires du droit commun.";;Article 62  Rupture du contrat de travail à durée déterminée;contrat, dispositions, durée, déterminée, rupture, travail
258;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63;Article 63  Ruptures du contrat de travail à durée indéterminée;;Article 63  Ruptures du contrat de travail à durée indéterminée;contrat, durée, travail
259;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63-1;"Article 63-1 Rupture du contrat de travail à l'initiative du particulier employeur
Les cas de rupture du contrat de travail à durée indéterminée à l'initiative du particulier employeur et leur formalisme éventuel sont prévus par les dispositions inscrites par chacun des socles spécifiques.";;Article 63-1 Rupture du contrat de travail à l'initiative du particulier employeur;cas, contrat, dispositions, durée, employeur, particulier, rupture, travail
260;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63-2;"Article 63-2 Rupture du contrat de travail à l'initiative du salarié Article 63-2-1 Démission
Le contrat de travail peut être rompu à l'initiative du salarié. La démission résulte d'une volonté sérieuse et non équivoque, exprimée clairement par écrit.
Le salarié en informe obligatoirement le particulier employeur par lettre recommandée avec accusé de réception ou par lettre remise en main propre contre décharge.
La date de première présentation de la lettre recommandée ou de la remise en main propre constitue le point de départ du préavis.";;Article 63-2 Rupture du contrat de travail à l'initiative du salarié Article 63-2-1 Démission;contrat, employeur, particulier, préavis, rupture, salarié, travail
261;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63-2-2;"Article 63-2-2 Départ volontaire à la retraite
Dès lors qu'il atteint l'‚ge légal d'ouverture du droit à une pension de retraite, sans nécessairement bénéficier d'une pension de retraite à taux plein, le salarié peut notifier son départ à la retraite au particulier employeur, par écrit, dans les conditions prévues par les dispositions légales et règlementaires de droit commun.";;Article 63-2-2 Départ volontaire à la retraite;dispositions, employeur, particulier, retraite, salarié
262;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63-3;"Article 63-3 Rupture du contrat de travail du fait du décès Article 63-3-1 Décès du particulier employeur
Les dispositions relatives au décès du particulier employeur sont prévues par chacun des socles spécifiques.";;Article 63-3 Rupture du contrat de travail du fait du décès Article 63-3-1 Décès du particulier employeur;contrat, dispositions, employeur, particulier, rupture, travail
263;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63-3-2;"Article 63-3-2 Décès du salarié
Le décès du salarié entraÓne de plein droit la rupture du contrat de travail. Cette rupture intervient à la date du décès du salarié.
Le particulier employeur en informe l'organisme destinataire de la déclaration d'emploi du salarié.
Le particulier employeur informe les ayants-droits de la rupture du contrat de travail et leur remet, dans un délai de trente (30) jours calendaires à compter du décès, le dernier bulletin de salaire ainsi que le certificat de travail et le reçu pour solde de tout compte prévus à l'article 69 du présent socle commun.
Le décès du salarié peut ouvrir droit, sous conditions, aux prestations du régime de prévoyance de branche, prévues à l'annexe n∞ 3 de la présente convention collective.
La rupture du contrat de travail entraÓne le versement aux ayant-droits :  du dernier salaire d˚ au jour du décès ;
d'une indemnité compensatrice pour les congés payés acquis, non rémunérés au jour du décès, dont les conditions et modalités de calcul sont prévues par chacun des socles spécifiques.";"Le contrat prend fin automatiquement à la date du décès.
Obligations de l’employeur :
	Déclarer le décès à l’organisme d’emploi (URSSAF, etc.).
	Transmettre aux ayants droit sous 30 jours :
		Dernier bulletin de salaire.
		Certificat de travail.
		Reçu pour solde de tout compte (article 69).
Droits des ayants droit :
	Dernier salaire (jusqu’au jour du décès).
	Indemnité compensatrice pour les congés payés non pris (calcul selon les socles spécifiques).
	Prestations de prévoyance (si couvert par l’annexe 3 de la convention)";Article 63-3-2 Décès du salarié;congés, contrat, employeur, indemnité, particulier, rupture, régime, salaire, salarié, travail
264;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63-3-3;"Article 63-3-3 Décès de l'enfant du particulier employeur
Les dispositions du présent article sont prévues dans chacun des socles spécifiques.";;Article 63-3-3 Décès de l'enfant du particulier employeur;dispositions, employeur, particulier
265;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;63-4;"Article 63-4 Autres ruptures du contrat de travail
Les autres ruptures du contrat de travail sont précisées dans chacun des socles spécifiques.";;Article 63-4 Autres ruptures du contrat de travail;contrat, travail
266;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;64;"Article 64  Préavis
La rupture du contrat de travail à l'initiative du particulier employeur ou du salarié peut être assortie ou non d'un préavis.
La date de fin du contrat de travail correspond :
à la date de fin du préavis, en cas d'exécution totale de celui-ci par le salarié ;
à la date prévue de fin du préavis, en cas d'inexécution totale ou partielle du préavis à l'initiative du particulier employeur ;
au dernier jour travaillé, en cas d'inexécution totale ou partielle du préavis à l'initiative du salarié. Le présent article est complété par les dispositions prévues par chacun des socles spécifiques.";"La fin du contrat dépend de l’exécution du préavis :
	Préavis respecté : Fin à la date prévue.
	Préavis non fait par l’employeur : Fin à la date théorique de fin de préavis.
	Préavis non fait par le salarié : Fin au dernier jour travaillé.
Cas particuliers :
	Démission/licenciement : Durées et règles dans les socles spécifiques.
	Dispense de préavis : Possible par accord mutuel.";Article 64  Préavis;cas, contrat, dispositions, employeur, particulier, préavis, rupture, salarié, travail
267;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;64-1;"Article 64-1 Exécution du préavis
La période de préavis est un délai préfix commençant à courir à compter de la date de la première présentation de la lettre recommandée avec accusé réception notifiant la rupture du contrat de travail ou de la date de remise en mains propres contre décharge.
Le préavis ne peut être interrompu ou suspendu. Par exception, le préavis peut être suspendu en cas :
d'arrêt de travail consécutif à un accident du travail ou à une maladie professionnelle ;  de suspension du contrat de travail consécutive à un congé de maternité ou d'adoption ;
de prise de congés payés. Par exception, les périodes de préavis et de congés payés peuvent se cumuler en cas d'accord écrit et signé des parties.
En cas d'exécution totale du préavis par le salarié, la date de fin du contrat de travail correspond à la date de fin du préavis prorogé, le cas échéant, de la durée correspondant aux trois cas de suspension précédemment énoncés intervenus durant la période de préavis.
Le présent article est complété par les dispositions prévues par chacun des socles spécifiques de la présente convention collective.";"Le préavis débute à la 1ʳᵉ présentation de la LRAR ou à la remise en main propre.
Règles :Pas d’interruption (sauf exceptions) :
	Accident du travail/maladie pro.
	Congé maternité/adoption.
	Congés payés (si accord écrit des deux parties).
Prorogation : Si suspension, le préavis est prolongé de la durée de l’absence.
Fin du contrat : Date de fin du préavis éventuellement prorogé.";Article 64-1 Exécution du préavis;cas, congés, contrat, dispositions, durée, professionnelle, préavis, rupture, salarié, travail
268;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;64-2;"Article 64-2 Inexécution du préavis
L'inexécution totale ou partielle du préavis imposée par le particulier employeur donne droit à une indemnité compensatrice de préavis jusqu'à la date prévue de fin du contrat de travail. Cette indemnité, soumise à contributions et cotisations sociales, est égale au montant de la rémunération brute correspondant à la durée du préavis prévue par chacun des socles spécifiques de la présente convention collective. La période d'inexécution du préavis est prise en compte pour la détermination du droit à congés payés et au titre de l'ancienneté.
L'inexécution de la totalité ou d'une partie du préavis, à la demande du salarié, peut être acceptée par le particulier employeur. Dans ce cas, le contrat de travail prend fin au dernier jour travaillé. À défaut d'accord entre les parties, l'inexécution totale ou partielle du préavis imposée par le salarié ouvre droit, au profit du particulier employeur, à une indemnité égale au montant de la rémunération nette correspondant à la durée non exécutée du préavis.";;Article 64-2 Inexécution du préavis;cas, congés, contrat, durée, employeur, indemnité, particulier, préavis, rémunération, salarié, travail
269;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE II Ruptures du contrat de travail à durée indéterminée;64-3;"Article 64-3 Absence de préavis en cas de faute grave ou de faute lourde
En cas de faute grave et de faute lourde, la date de la rupture du contrat de travail est fixée à la date d'envoi de la notification de la rupture du contrat de travail par le particulier employeur.";;Article 64-3 Absence de préavis en cas de faute grave ou de faute lourde;cas, contrat, employeur, particulier, préavis, rupture, travail
270;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE III Sommes allouées au salarié à la fin du contrat de travail;65;Article 65  Indemnités liées à la rupture du contrat de travail;;Article 65  Indemnités liées à la rupture du contrat de travail;contrat, indemnités, liées, rupture, travail
271;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE III Sommes allouées au salarié à la fin du contrat de travail;65-1;"Article 65-1 Dispositions générales
Les conditions d'octroi et de fixation des indemnités liées à la rupture du contrat de travail sont déterminées par les dispositions prévues par chacun des socles spécifiques.";;Article 65-1 Dispositions générales;contrat, dispositions, indemnités, liées, rupture, travail
272;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE III Sommes allouées au salarié à la fin du contrat de travail;65-2;"Article 65-2 Dispositions applicables en cas de départ volontaire à la retraite
Le salarié qui part volontairement à la retraite peut bénéficier d'une indemnité de départ à la retraite, dans les conditions et selon les modalités prévues par le socle commun, à l'annexe n∞ 4 de la présente convention collective.";;Article 65-2 Dispositions applicables en cas de départ volontaire à la retraite;cas, dispositions, indemnité, retraite, salarié
273;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE III Sommes allouées au salarié à la fin du contrat de travail;66;"Article 66  Indemnité compensatrice de préavis
Le présent article s'applique au particulier employeur amené à verser une indemnité compensatrice de préavis au salarié dans les conditions et selon les modalités de calcul prévues par chacun des socles spécifiques. Le montant de l'indemnité compensatrice de préavis correspond à la rémunération due au salarié jusqu'à la date de fin du contrat de travail.";;Article 66  Indemnité compensatrice de préavis;contrat, employeur, indemnité, particulier, préavis, rémunération, salarié, travail
274;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE III Sommes allouées au salarié à la fin du contrat de travail;67;"Article 67  Indemnité compensatrice de congés payés
En cas de rupture du contrat de travail, le salarié a droit une indemnité compensatrice de congés payés.
Cette indemnité correspond à la rémunération de l'ensemble des congés payés acquis, non rémunérés au jour de la date de fin du contrat de travail, dont les conditions et modalités de calcul sont prévues par chacun des socles spécifiques.";;Article 67  Indemnité compensatrice de congés payés;cas, congés, contrat, indemnité, rupture, rémunération, salarié, travail
275;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE III Sommes allouées au salarié à la fin du contrat de travail;68;"Article 68  Autres sommes versées
À la date de fin du contrat de travail, sont versées au salarié, la rémunération et toute somme due en application des dispositions prévues par chacun des socles spécifiques.";;Article 68  Autres sommes versées;contrat, dispositions, rémunération, salarié, travail
276;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE IV Documents remis au salarié à la fin du contrat de travail;69;"Article 69  Documents remis au salarié à la fin du contrat de travail
Par principe, à la date de fin du contrat de travail définie à l'article 64 du présent socle commun, le particulier employeur remet obligatoirement au salarié :
un certificat de travail précisant :
- les nom, prénom et adresse du particulier employeur ;
- les nom et prénom du salarié ;
- la date d'effet de l'embauche ;
- la date de fin du contrat de travail ;
- la nature de l'emploi occupé ou, le cas échéant, les emplois successivement occupés et les périodes correspondantes ;
- la portabilité de la prévoyance ;
-  le cas échéant, la mention précisant que le salarié est libre de tout engagement à l'égard du particulier employeur.
l'attestation pour présenter une demande d'indemnisation auprès de l'organisme Pôle emploi ;
un reçu pour solde de tout compte détaillant les sommes versées au salarié à la date de la rupture du contrat de travail. Le reçu pour solde de tout compte peut-être signé par le salarié. Il peut être dénoncé dans les six (6) mois qui suivent sa signature, délai au-delà duquel il devient libératoire pour le particulier employeur pour les sommes qui y sont mentionnées.
Par exception, lorsque le préavis n'est pas exécuté en partie ou en totalité à la demande du salarié, le particulier employeur dispose d'un délai maximal de deux (2) semaines calendaires à compter de la date de fin du contrat pour remettre au salarié l'ensemble des documents visés ci-dessus et procéder au versement des indemnités de fin de contrat.
Lorsque le préavis n'est pas exécuté à la demande du salarié, une attestation précisant la date à laquelle ce dernier se trouve libre de tout engagement peut être remise au salarié.
Des modèles de certificat de travail, de reçu pour solde de tout compte et de l'attestation précitée sont proposés dans les fiches et documents pédagogiques. Ces derniers présentent une valeur indicative et non conventionnelle.";"À la fin du contrat (article 64), l’employeur doit remettre :

Certificat de travail (obligatoire) :
	Identité de l’employeur et du salarié.
	Dates d’embauche et de fin.
	Postes occupés et périodes.
	Portabilité de la prévoyance.
	Mention de libération (si applicable).
Attestation Pôle Emploi (pour les indemnités chômage).
Reçu pour solde de tout compte :
	Détail des sommes versées (salaire, indemnités).
Signature du salarié.
Dénonciation possible sous 6 mois (au-delà, libératoire pour l’employeur).

Cas particuliers :
	Préavis non exécuté par le salarié :
	Délai de 2 semaines pour remettre les documents.
	Attestation de libération possible.
Modèles : Disponibles dans les fiches pédagogiques (non contraignants).";Article 69  Documents remis au salarié à la fin du contrat de travail;cas, contrat, employeur, indemnités, nature, particulier, préavis, rupture, salarié, travail, solde, attestation
277;SOCLE COMMUN;PARTIE IV DISPOSITIONS RELATIVES AU CONTRAT DE TRAVAIL;TITRE 2  Rupture du contrat de travail;CHAPITRE V Restitution du logement par le salarié à la fin du contrat de travail;70;"Article 70  Restitution du logement par le salarié à la fin du contrat de travail
Les dispositions liées à la restitution du logement par le salarié à la fin du contrat de travail sont prévues par le socle spécifique "" salarié du particulier employeur "".";;Article 70  Restitution du logement par le salarié à la fin du contrat de travail;contrat, dispositions, employeur, liées, particulier, salarié, travail
278;SOCLE COMMUN;PARTIE V DROITS SOCIAUX ATTACHÉS AUX SALARIÉS;---;CHAPITRE I Économie générale des droits sociaux attachés aux salariés;71;"Article 71  Principe d'attachement des droits sociaux aux salariés
Les dispositions de la présente convention collective résultent de la volonté de partenaires sociaux du secteur des particuliers employeurs et de l'emploi à domicile de consacrer, eu égard à la singularité du secteur, le principe de l'attachement des droits sociaux aux salariés afin :
d'assurer l'effectivité par mutualisation des droits sociaux attachés aux salariés par une mise en oeuvre ;
de mutualiser les obligations employeurs afférentes, le cas échéant à l'appui d'un mandat confié par ceux-ci, et ainsi leur garantir un mécanisme de solidarité.";;Article 71  Principe d'attachement des droits sociaux aux salariés;cas, dispositions, domicile
279;SOCLE COMMUN;PARTIE V DROITS SOCIAUX ATTACHÉS AUX SALARIÉS;---;CHAPITRE I Économie générale des droits sociaux attachés aux salariés;72;"Article 72  Mise en oeuvre des droits sociaux attachés aux salariés
Les partenaires sociaux du secteur des particuliers employeurs et de l'emploi à domicile confient la mise en oeuvre des droits sociaux attachés aux salariés à l'association paritaire créée, aux termes de l'accord du 19 décembre 2018 applicable aux assistants maternels et aux salariés du particulier employeur, dénommée APNI, visée à l'annexe n∞ 2 de la présente convention collective.
L'APNI, lorsqu'elle est désignée par un texte légal, réglementaire, la convention collective ou un accord de branche étendu, a pour objet d'assurer l'interface, entre les particuliers employeurs, les salariés et l'ensemble des acteurs, dans la mise en oeuvre de la politique sectorielle arrêtée par la branche du secteur des particuliers employeurs et de l'emploi à domicile.
À ce titre, l'APNI est chargée, conformément aux orientations stratégiques de la branche du secteur des particuliers employeurs et de l'emploi à domicile, et de manière applicative de :
gérer et déployer le budget et les ressources affectées en vue de réaliser son objet ;  disposer, le cas échéant, des mandats confiés par les employeurs.
Par ailleurs, la branche peut confier à l'APNI, conformément à son objet social, toute mission s'inscrivant dans le cadre de la mise en oeuvre des droits sociaux attachés aux salariés telle que notamment des missions de collecte (recouvrement et contrôle), de simplification des démarches des particuliers employeurs et des salariés de la branche, de communication et d'étude.";;Article 72  Mise en oeuvre des droits sociaux attachés aux salariés;cas, domicile, employeur, missions, particulier, social
280;SOCLE COMMUN;PARTIE V DROITS SOCIAUX ATTACHÉS AUX SALARIÉS;---;CHAPITRE II-I  Santé au travail et prévention des risques;73;"Article 73  Surveillance médicale adaptée à la singularité du secteur
L'employeur a l'obligation d'assurer la surveillance médicale des salariés relevant du champ d'application professionnel de la présente convention collective. Dans ce cadre, il doit s'assurer du suivi individuel de l'état de santé du salarié par la médecine du travail.
Les salariés relevant de la présente convention collective doivent se soumettre à l'ensemble des actes liés à la surveillance médicale.";Le certificat de travail est un document obligatoire à la fin du contrat. Il doit indiquer la date de début, la date de fin et la nature exacte des tâches faites. On ne doit pas écrire de commentaires négatifs sur le salarié. Ce document permet au salarié de prouver son expérience pour trouver un futur emploi.;Article 73  Surveillance médicale adaptée à la singularité du secteur;salarié, travail
281;SOCLE COMMUN;PARTIE V DROITS SOCIAUX ATTACHÉS AUX SALARIÉS;---;CHAPITRE II-I  Santé au travail et prévention des risques;74;"Article 74  Mise en oeuvre de la surveillance médicale des salariés
L'annexe n∞ 1 détermine les modalités adaptées de surveillance médicale des salariés et prévoit les règles nécessaires afin :
d'assurer l'effectivité par mutualisation des droits sociaux attachés aux salariés par leur mise en oeuvre ;
de mutualiser les obligations employeurs afférentes, à l'appui d'un mandat confié par ceux-ci à une association paritaire, et ainsi leur garantir un mécanisme de solidarité.
SECTION 2 - Prévention des risques professionnels dans la branche du secteur des particuliers employeurs et de l'emploi à domicile";;Article 74  Mise en oeuvre de la surveillance médicale des salariés;domicile
